Orthogroup	Acinetobacter_baumannii_(strain_ATCC_19606___DSM_30007___JCM_6841___CCUG_19606___CIP_70.34___NBRC_109757___NCIMB_12457___NCTC_12156___81)	Burkholderia_cenocepacia_(strain_ATCC_BAA-245___DSM_16553___LMG_16656___NCTC_13227___J2315___CF5610)	Escherichia_coli_(strain_K12)	Mycobacteroides_abscessus_(strain_ATCC_19977___DSM_44196___CCUG_20993___CIP_104536___JCM_13569___NCTC_13031___TMC_1543___L948)	Mycolicibacterium_smegmatis_(strain_ATCC_700084___mc(2)155)	Pseudomonas_aeruginosa_(strain_ATCC_15692___DSM_22644___CIP_104116___JCM_14847___LMG_12228___1C___PRS_101___PAO1)
OG0004722	tr|D0C8M2|D0C8M2_ACIB2					
OG0004723	tr|D0C5P3|D0C5P3_ACIB2					
OG0004724	tr|D0C619|D0C619_ACIB2					
OG0004725	tr|D0C676|D0C676_ACIB2					
OG0004726	tr|D0C721|D0C721_ACIB2					
OG0004727	tr|D0C724|D0C724_ACIB2					
OG0004728	tr|D0CAD0|D0CAD0_ACIB2					
OG0004729	tr|D0CB73|D0CB73_ACIB2					
OG0004730	tr|D0CBM3|D0CBM3_ACIB2					
OG0004731	tr|D0CC05|D0CC05_ACIB2					
OG0004732	tr|D0CC26|D0CC26_ACIB2					
OG0004733	tr|D0CD60|D0CD60_ACIB2					
OG0004734	tr|D0CD85|D0CD85_ACIB2					
OG0004735	tr|D0CDA1|D0CDA1_ACIB2					
OG0004736	tr|D0CE26|D0CE26_ACIB2					
OG0004737	tr|D0CEY9|D0CEY9_ACIB2					
OG0004738	tr|D0CFQ2|D0CFQ2_ACIB2					
OG0004739	tr|D0C5H2|D0C5H2_ACIB2					
OG0004740	tr|D0C5H3|D0C5H3_ACIB2					
OG0004741	tr|D0C5H4|D0C5H4_ACIB2					
OG0004742	tr|D0C5H5|D0C5H5_ACIB2					
OG0004743	tr|D0C5H6|D0C5H6_ACIB2					
OG0004744	tr|D0C5H7|D0C5H7_ACIB2					
OG0004745	tr|D0C5H9|D0C5H9_ACIB2					
OG0004746	tr|D0C5I0|D0C5I0_ACIB2					
OG0004747	tr|D0C5I8|D0C5I8_ACIB2					
OG0004748	tr|D0C5J1|D0C5J1_ACIB2					
OG0004749	tr|D0C5J6|D0C5J6_ACIB2					
OG0004750	tr|D0C5L4|D0C5L4_ACIB2					
OG0004751	tr|D0C5L6|D0C5L6_ACIB2					
OG0004752	tr|D0C5M6|D0C5M6_ACIB2					
OG0004753	tr|D0C5N6|D0C5N6_ACIB2					
OG0004754	tr|D0C5N9|D0C5N9_ACIB2					
OG0004755	tr|D0C5P4|D0C5P4_ACIB2					
OG0004756	tr|D0C5P8|D0C5P8_ACIB2					
OG0004757	tr|D0C5P9|D0C5P9_ACIB2					
OG0004758	tr|D0C5Q7|D0C5Q7_ACIB2					
OG0004759	tr|D0C5R3|D0C5R3_ACIB2					
OG0004760	tr|D0C5R4|D0C5R4_ACIB2					
OG0004761	tr|D0C5R5|D0C5R5_ACIB2					
OG0004762	tr|D0C5S0|D0C5S0_ACIB2					
OG0004763	tr|D0C5S5|D0C5S5_ACIB2					
